,PLAYER_ID,SHOT_ZONE_RANGE,SHOT_PERCENTAGE,SHOT_COUNT_MADE,SHOT_RANGE_BIN
110,2546,8-16 ft.,0.4304635761589404,65,8
111,2546,Less Than 8 ft.,0.5204081632653061,102,0
112,2547,16-24 ft.,0.40458015267175573,53,16
113,2547,24+ ft.,0.36551724137931035,53,24
114,2547,8-16 ft.,0.5074626865671642,34,8
115,2547,Less Than 8 ft.,0.6344827586206897,92,0
116,2548,16-24 ft.,0.4112903225806452,51,16
117,2548,24+ ft.,0.18181818181818182,4,24
118,2548,8-16 ft.,0.3381294964028777,47,8
119,2548,Back Court Shot,1.0,1,50
120,2548,Less Than 8 ft.,0.5776699029126213,119,0
121,2549,16-24 ft.,0.38461538461538464,5,16
122,2549,8-16 ft.,0.6666666666666666,2,8
123,2549,Less Than 8 ft.,0.2857142857142857,2,0
124,2550,16-24 ft.,0.5384615384615384,7,16
125,2550,24+ ft.,0.5333333333333333,16,24
126,2550,8-16 ft.,0.14285714285714285,1,8
127,2550,Back Court Shot,0.0,0,50
128,2550,Less Than 8 ft.,0.43478260869565216,10,0
129,2555,16-24 ft.,0.2857142857142857,2,16
130,2555,24+ ft.,0.0,0,24
131,2555,8-16 ft.,0.6666666666666666,4,8
132,2555,Less Than 8 ft.,0.43478260869565216,20,0
133,2561,16-24 ft.,0.5245901639344263,32,16
134,2561,24+ ft.,1.0,1,24
135,2561,8-16 ft.,0.4117647058823529,14,8
136,2561,Less Than 8 ft.,0.6027397260273972,44,0
137,2564,16-24 ft.,0.3333333333333333,4,16
138,2564,24+ ft.,0.39285714285714285,11,24
139,2564,8-16 ft.,0.3333333333333333,8,8
140,2564,Back Court Shot,0.0,0,50
141,2564,Less Than 8 ft.,0.6293103448275862,73,0
142,2570,16-24 ft.,0.5,1,16
143,2570,8-16 ft.,1.0,3,8
144,2570,Less Than 8 ft.,0.8181818181818182,9,0
145,2571,16-24 ft.,0.5454545454545454,12,16
146,2571,24+ ft.,0.37777777777777777,17,24
147,2571,8-16 ft.,0.2,4,8
148,2571,Less Than 8 ft.,0.5942028985507246,41,0
149,2581,16-24 ft.,0.47058823529411764,8,16
150,2581,24+ ft.,0.35294117647058826,24,24
151,2581,8-16 ft.,0.2,1,8
152,2581,Back Court Shot,0.0,0,50
